click_par,channel,app_name,page_name,user_id
{"_portal_tableListTrace_h5":513},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":252},home,portal-app,resident_人工调度台,10059375
{"_portal_wayBillClickTrace_h5":920},home,portal-app,resident_人工调度台,10058982
{"_portal_tableListTrace_h5":446},home,portal-app,resident_人工调度台,10045663
{"_portal_tableListTrace_h5":223},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":179},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":360},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":640},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":201},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":697},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":528},home,portal-app,resident_人工调度台,10059374
{"_portal_tableListTrace_h5":186},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":169},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":171},home,portal-app,resident_人工调度台,10059375
{"_portal_wayBillClickTrace_h5":406},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":173},home,portal-app,resident_人工调度台,10048964
{"_portal_wayBillClickTrace_h5":290},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":202},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":549},home,portal-app,resident_人工调度台,10040864
{"_portal_tableListTrace_h5":228},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":271},home,portal-app,dispatch_人工调度台,10035451
{"_portal_wayBillClickTrace_h5":792},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":432},home,portal-app,resident_人工调度台,10060934
{"_portal_tableListTrace_h5":858},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":204},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":344},home,portal-app,resident_人工调度台,10060934
{"_portal_tableListTrace_h5":361},home,portal-app,resident_人工调度台,10040864
{"_portal_tableListTrace_h5":1506},home,portal-app,resident_人工调度台,10040864
{"_portal_tableListTrace_h5":383},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":193},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":531},home,portal-app,resident_人工调度台,10059374
{"_portal_tableListTrace_h5":431},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":173},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":317},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":314},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":248},home,portal-app,dispatch_人工调度台,10035451
{"_portal_tableListTrace_h5":356},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":401},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":210},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":172},home,portal-app,resident_人工调度台,10062110
{"_portal_wayBillClickTrace_h5":327},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":360},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":409},home,portal-app,resident_人工调度台,10060934
{"_portal_tableListTrace_h5":346},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":185},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":395},home,portal-app,resident_人工调度台,10060934
{"_portal_tableListTrace_h5":172},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":556},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":312},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":287},home,portal-app,resident_人工调度台,10064615
{"_portal_tableListTrace_h5":574},home,portal-app,resident_人工调度台,10064235
{"_portal_tableListTrace_h5":198},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":214},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":349},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":437},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":646},home,portal-app,resident_人工调度台,10055588
{"_portal_tableListTrace_h5":342},home,portal-app,resident_人工调度台,10022147
{"_portal_tableListTrace_h5":304},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":270},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":338},home,portal-app,resident_人工调度台,10022147
{"_portal_wayBillClickTrace_h5":410},home,portal-app,resident_人工调度台,10044020
{"_portal_tableListTrace_h5":497},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":334},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":469},home,portal-app,resident_人工调度台,10044020
{"_portal_tableListTrace_h5":447},home,portal-app,resident_人工调度台,10065368
{"_portal_tableListTrace_h5":547},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":177},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":204},home,portal-app,resident_人工调度台,10022147
{"_portal_tableListTrace_h5":232},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":330},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":413},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":431},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":188},home,portal-app,resident_人工调度台,10048964
{"_portal_makeAssignTrace_h5":1071},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":276},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":203},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":282},home,portal-app,resident_人工调度台,10060510
{"_portal_tableListTrace_h5":187},home,portal-app,resident_人工调度台,10048964
{"_portal_wayBillClickTrace_h5":389},home,portal-app,resident_人工调度台,10065557
{"_portal_tableListTrace_h5":593},home,portal-app,resident_人工调度台,10022147
{"_portal_wayBillClickTrace_h5":391},home,portal-app,resident_人工调度台,10063693
{"_portal_tableListTrace_h5":301},home,portal-app,resident_人工调度台,10063210
{"_portal_tableListTrace_h5":358},home,portal-app,resident_人工调度台,10060900
{"_portal_wayBillClickTrace_h5":280},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":852},home,portal-app,resident_人工调度台,10019417
{"_portal_tableListTrace_h5":366},home,portal-app,resident_人工调度台,10034133
{"_portal_tableListTrace_h5":310},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":472},home,portal-app,resident_人工调度台,10055588
{"_portal_tableListTrace_h5":250},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":306},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":281},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_wayBillClickTrace_h5":369},home,portal-app,resident_人工调度台,10057647
{"_portal_tableListTrace_h5":543},home,portal-app,resident_人工调度台,10045663
{"_portal_wayBillClickTrace_h5":578},home,portal-app,resident_人工调度台,10063532
{"_portal_tableListTrace_h5":725},home,portal-app,resident_人工调度台,10020491
{"_portal_tableListTrace_h5":420},home,portal-app,resident_人工调度台,10063532
{"_portal_tableListTrace_h5":453},home,portal-app,resident_人工调度台,10063532
{"_portal_tableListTrace_h5":396},home,portal-app,resident_人工调度台,10046504
{"_portal_wayBillClickTrace_h5":480},home,portal-app,resident_人工调度台,10045663
{"_portal_tableListTrace_h5":596},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":734},home,portal-app,dispatch_人工调度台,2837
{"_portal_wayBillClickTrace_h5":257},home,portal-app,resident_人工调度台,10052229
{"_portal_tableListTrace_h5":936},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":306},home,portal-app,resident_人工调度台,10050591
{"_portal_tableListTrace_h5":528},home,portal-app,resident_人工调度台,10063532
{"_portal_tableListTrace_h5":549},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":634},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":429},home,portal-app,resident_人工调度台,10063558
{"_portal_tableListTrace_h5":1824},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":300},home,portal-app,resident_人工调度台,10063558
{"_portal_tableListTrace_h5":418},home,portal-app,resident_人工调度台,10063558
{"_portal_tableListTrace_h5":387},home,portal-app,dispatch_人工调度台,2837
{"_portal_tableListTrace_h5":706},home,portal-app,dispatch_人工调度台,2837
{"_portal_wayBillClickTrace_h5":399},home,portal-app,resident_人工调度台,10063532
{"_portal_tableListTrace_h5":309},home,portal-app,resident_人工调度台,10014579
